               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.026415,            0.015471,            0.010217,               0.588,              0.1811,             0.21577,             0.10222,            0.061258,            0.010358,            0.072968,            0.001156,            0.001156,            0.001156
                 136,            0.026597,            0.016023,           0.0093884,              0.5846,             0.17807,             0.21518,             0.10387,            0.061018,            0.010416,             0.07062,             0.00109,             0.00109,             0.00109
                 137,            0.026816,            0.016365,            0.010177,             0.58587,             0.17703,             0.22451,             0.10481,            0.060318,            0.010377,            0.068725,            0.001024,            0.001024,            0.001024
                 138,            0.026358,            0.015881,            0.010742,             0.55926,              0.1774,             0.21388,             0.11319,            0.061634,            0.010256,            0.066052,            0.000958,            0.000958,            0.000958
                 139,            0.026222,            0.016116,           0.0098554,             0.46322,             0.21216,             0.22023,             0.11754,            0.060474,            0.010347,            0.065645,            0.000892,            0.000892,            0.000892
                 140,            0.025906,            0.015152,            0.009325,             0.51887,             0.17064,             0.21198,             0.10402,             0.06059,            0.010294,            0.066907,            0.000826,            0.000826,            0.000826
                 141,            0.026136,            0.016293,           0.0094454,             0.77898,             0.10457,             0.23487,             0.11491,            0.060693,            0.010409,            0.069451,             0.00076,             0.00076,             0.00076
                 142,            0.025851,            0.015916,           0.0086295,             0.82697,             0.11209,             0.23219,             0.11659,            0.061699,            0.010458,            0.068992,            0.000694,            0.000694,            0.000694
                 143,            0.025685,            0.016144,           0.0084075,             0.76586,             0.11209,             0.23063,             0.10746,            0.059793,            0.010443,             0.06735,            0.000628,            0.000628,            0.000628
                 144,            0.026131,            0.016537,           0.0097324,             0.50884,             0.21025,             0.22517,             0.11611,             0.05877,            0.010355,            0.067587,            0.000562,            0.000562,            0.000562
                 145,            0.025905,             0.01461,           0.0094194,             0.68402,             0.11209,             0.23172,             0.11481,            0.060371,            0.010311,            0.069925,            0.000496,            0.000496,            0.000496
                 146,            0.025454,            0.015682,           0.0091683,             0.66421,             0.16211,              0.2342,             0.11691,            0.062294,            0.010278,            0.071495,             0.00043,             0.00043,             0.00043
                 147,            0.025846,            0.015808,           0.0094051,             0.66824,             0.16472,             0.23083,             0.11595,            0.062426,            0.010317,            0.073735,            0.000364,            0.000364,            0.000364
                 148,            0.024649,            0.015357,           0.0092519,             0.66534,             0.16434,             0.23021,             0.11107,            0.061431,            0.010408,            0.073164,            0.000298,            0.000298,            0.000298
                 149,            0.024815,            0.015732,            0.009426,             0.66255,             0.16702,             0.22537,             0.10642,             0.06074,            0.010478,            0.073874,            0.000232,            0.000232,            0.000232
